case_id,t_state,p_name,p_year,p_tnum,p_cap,xlong,ylat
3043806,CA,Cemex Black Mountain Quarry,2012.0,2,3.0,-117.112785,34.623196
3043807,OK,Canadian Hills,2012.0,62,148.8,-98.195992,35.709496
3043809,TX,Gaines Cavern Wind Project,2012.0,1,2.0,-103.062454,32.688553000000006
3043843,CA,Cemex River Plant,2012.0,2,3.2,-117.30718999999999,34.561996
3043944,TX,Bobcat Bluff,2012.0,100,150.0,-98.548447,33.502644000000004
3044216,MT,Musselshell I,2012.0,7,10.0,-109.46578999999998,46.276993
3044223,MT,Musselshell II,2012.0,7,10.0,-109.48998999999999,46.269394
3044247,ID,Cold Springs,2012.0,60,138.0,-115.41698500000001,43.037791999999996
3044371,CA,Superior Farms,2012.0,1,1.0,-121.81748999999999,38.420094
3044375,TX,Stephens Ranch II,2015.0,92,164.68,-101.66484799999999,33.028564
3044461,TX,Stephens Ranch 1,2014.0,118,211.22,-101.707748,32.963963
3044619,HI,Kawailoa Wind,2012.0,30,69.0,-158.051086,21.604696
3044632,ID,Meadow Creek,2012.0,57,119.7,-111.80218500000001,43.565895000000005
3044712,CA,Pinyon Pines II,2012.0,44,132.0,-118.18748500000001,35.018295
3044785,MT,Spion Kop,2012.0,25,40.0,-110.65418999999999,47.324593
3044820,TX,Mozart,2012.0,12,30.0,-100.52399399999999,32.969494
3045039,MT,Judith Gap,2005.0,90,135.0,-109.742287,46.538895000000004
3045191,OR,Willow Creek,2009.0,48,72.0,-120.017784,45.661095
3045349,ID,Wolverine Creek,2005.0,43,64.5,-111.86268600000001,43.334694
3045493,AK,Nome Newton Peak,2013.0,2,1.8,-165.42648300000002,64.57040400000001
3045551,WA,Swauk Valley,2012.0,5,4.25,-120.75378400000001,47.140293
3045676,CA,Alta XI,2013.0,7,19.95,-118.38028700000001,35.068497
3045692,AK,Fire Island Project,2012.0,11,17.6,-150.267471,61.124995999999996
3045746,IN,Wildcat I,2012.0,125,200.0,-85.932198,40.365593
3045836,TX,Grandview I,2014.0,118,211.22,-101.274063,35.273163000000004
