,case_id,t_state,p_name,p_year,p_tnum,p_cap,xlong,ylat
4922,3012436,NY,Fenner Wind Power Project,2001.0,19,28.5,-75.765396,43.005093
4937,3012452,PA,Mill Run Windpower LLC,2001.0,10,15.0,-79.39409599999999,39.913994
4944,3012460,MN,"Moulton, Chandler Hills Wind Farm Phase II",2001.0,3,1.98,-95.94929499999999,43.902691
4947,3012463,MN,"Champepaden, Chandler Hills Phase II",2001.0,3,1.98,-95.952393,43.919292
4950,3012482,MN,Kas Farms,2001.0,2,1.5,-96.115189,44.012592
4952,3012484,ND,Valley City Wind Turbine,2001.0,1,0.9,-97.89117399999999,46.918633
4953,3012485,MN,Wilmont Hills,2001.0,1,1.5,-95.853493,43.754791
4954,3012488,MN,McNeilus,2003.0,24,22.8,-92.854904,44.00042
4955,3012490,WA,Stateline Wind Project,2001.0,268,176.88,-118.83018500000001,46.040195000000004
5260,3012866,CO,Ponnequin (PSCo),2001.0,15,9.9,-104.803391,40.998093
5271,3012881,OR,"Condon Wind Project, phase I",2001.0,41,24.6,-120.27338400000001,45.248695
5288,3012921,OR,"Condon Wind Project, phase II",2002.0,42,25.2,-120.272484,45.285095
5341,3012977,WA,Nine Canyon,2002.0,37,48.1,-119.09888500000001,46.098694
5366,3013153,IA,Hancock County Wind Farm,2002.0,148,97.68,-93.711189,43.074593
5502,3013304,WV,Mountaineer Wind Energy Center (Thomas),2002.0,44,66.0,-79.569695,39.151291
5531,3013381,ND,Minnkota Power Cooperative,2002.0,1,0.9,-97.930992,48.008793
5532,3013382,MN,Lakeview Ridge,2001.0,1,0.9,-96.450592,44.520393
5533,3013390,MN,Farmers' coops/Westridge,2003.0,18,17.1,-96.118492,44.021992
5540,3013397,MN,MinWind I & II,2002.0,4,3.8,-96.311195,43.555492
5551,3013421,MN,Missouri River Energy Services (MRES),2002.0,4,3.6,-95.682388,43.622692
5555,3013427,MN,Bingham Lake,2006.0,12,15.0,-95.03479,43.966991
5556,3013428,MN,Don Sneve Wind Farms,2003.0,1,0.95,-95.843666,43.747753
5558,3013431,CO,Colorado Green Wind Project (Lamar),2003.0,108,162.0,-102.600792,37.737595
5581,3013588,TX,Llano Estacado Wind Ranch at White Deer,2001.0,80,80.0,-101.252388,35.493491999999996
5660,3013667,NM,Llano Estacado Wind Ranch at Texico II,2003.0,2,1.32,-103.054794,34.360195000000004
5662,3013669,CA,"Solano Wind Project, Phase I",2003.0,15,9.9,-121.77578700000001,38.134396
5701,3013708,IA,Zachary Ridge,2010.0,1,2.0,-95.65773,43.40596
5703,3013797,IA,Lenox Municipal Utilities,2003.0,1,0.75,-94.538094,40.896694000000004
5704,3013798,PA,Meyersdale,2003.0,20,30.0,-78.990997,39.804192
5724,3013818,PA,Waymart Wind Farm,2003.0,43,64.5,-75.428398,41.638493
5767,3013890,MN,Shaokatan Power Partners,2003.0,2,1.6,-96.418594,44.39669
5769,3013892,SD,South Dakota,2003.0,27,40.5,-99.438423,44.384045
5785,3013919,ND,North Dakota Wind II,2003.0,14,21.0,-98.898392,46.32719
5786,3013920,ND,North Dakota Wind I,2003.0,27,40.5,-98.89859,46.347190999999995
5820,3013954,MN,Moraine Wind Power project,2003.0,34,51.0,-96.069389,44.040592
5854,3013993,MN,Fairmont Wind (SMMPA),2004.0,2,3.3,-94.441193,43.579291999999995
5862,3014004,MN,G. McNeilus Wind Farm,2003.0,9,13.5,-92.717377,43.554928000000004
5863,3014005,MN,Carleton College,2004.0,1,1.65,-93.113892,44.458991999999995
5864,3014012,OH,Bowling Green Municipal,2003.0,2,3.6,-83.740997,41.376492
5865,3014013,MN,Pipestone School District,2003.0,1,0.75,-96.340393,44.000893
5866,3014014,OH,AMP-Ohio/Green Mountain Energy Wind Farm,2004.0,2,3.6,-83.736298,41.382492
5946,3014117,CO,Lamar Municipal,2004.0,3,4.5,-102.537888,38.033295
5949,3014121,CO,Lamar III,2004.0,2,3.0,-102.650894,37.362293
5950,3014124,WA,Nine Canyon II,2003.0,12,15.6,-119.14088400000001,46.103992
5962,3014136,TN,Buffalo Mountain,2004.0,15,27.0,-84.35629300000001,36.130192
5963,3014325,TX,Brazos Wind Ranch,2003.0,99,99.0,-101.152992,32.951195
5988,3014489,TX,Indian Mesa / Aeolus,2003.0,1,3.0,-101.327888,36.472694
5989,3014584,OK,Blue Canyon I,2003.0,45,74.25,-98.598694,34.860493
6034,3014629,CA,Victorville Wind Project,2005.0,1,0.75,-117.35829199999999,34.557693
6036,3014641,CA,"Solano Wind Project, Phase IA",2004.0,7,4.62,-121.77458999999999,38.126995
6042,3014650,CA,Mountain View Power Partners III,2003.0,34,22.44,-116.58708999999999,33.920795
6044,3014653,CA,Coram Energy LLC,2005.0,6,9.0,-118.32479099999999,35.065594
6046,3014673,IA,Iowa Lakes Community College,2005.0,1,1.65,-94.815689,43.385292
6047,3014676,IA,Intrepid Expansion,2005.0,15,15.0,-95.35298900000001,42.526993
6049,3014715,IL,Bureau Valley School District,2004.0,1,0.66,-89.67819200000001,41.453392
6050,3014716,MN,MinWind III-IX,2004.0,7,11.55,-96.390594,43.649994
6051,3014717,IL,Crescent Ridge I,2005.0,33,54.45,-89.579262,41.265434
6057,3014726,MN,West Pipestone (Maiden Winds),2004.0,5,8.25,-96.430389,44.025593
6061,3014731,MN,Redwood Falls (SMMPA),2005.0,2,3.3,-95.175896,44.504494
6070,3014747,MN,JJN Wind Farm,2004.0,1,1.5,-96.391891,44.280891
6074,3014751,MA,Hull Wind Phase II,2006.0,1,1.8,-70.85659799999999,42.261192
6097,3014787,OR,Klondike II,2005.0,50,75.0,-120.600388,45.583096000000005
6098,3014788,ID,Fossil Gulch,2005.0,7,10.5,-114.94958500000001,42.865093
6117,3014809,WA,Hopkins Ridge Wind Project,2005.0,83,149.4,-117.816978,46.40947
